x,y,z,magnitude,time
0.273,-0.021,-0.553,0.617,45.53
1.109,-0.396,-0.695,1.368,45.6
-0.566,0.088,0.654,0.87,45.67
-0.58,0.17,-0.463,0.761,45.75
-2.801,0.672,0.689,2.962,45.81
-1.422,0.172,-0.076,1.434,45.89
-0.527,-0.041,-0.166,0.554,45.96
-0.023,-0.176,0.045,0.183,46.03
-0.525,0.125,-0.135,0.557,46.1
-1.74,-0.027,-0.494,1.809,46.18
-1.031,-0.109,-0.049,1.038,46.25
-0.361,-0.033,-0.279,0.458,46.32
-0.689,0.049,-0.021,0.692,46.39
-1.307,-0.041,-0.191,1.321,46.47
-1.285,0.16,0.043,1.296,46.54
-2.109,-0.072,-0.141,2.115,46.61
-1.863,0.283,-0.184,1.894,46.68
-1.008,0.135,-0.053,1.018,46.75
0.449,0.035,0.002,0.451,46.82
0.775,-0.297,-0.664,1.063,46.9
-0.584,0.1,0.312,0.67,46.97
-2.725,0.221,-0.141,2.737,47.04
-2.699,0.021,0.184,2.706,47.11
-1.037,0.068,0.414,1.119,47.18
-0.289,-0.049,-0.16,0.334,47.25
-0.285,0.035,-0.039,0.29,47.32
-1.875,0.191,0.025,1.885,47.39
-1.561,0.006,0.035,1.561,47.47
-0.852,0.082,0,0.856,47.54
-0.34,-0.004,-0.199,0.394,47.61
-0.518,-0.1,0.1,0.536,47.68
-1.781,-0.023,-0.187,1.791,47.75
-2.26,-0.047,0.395,2.294,47.83
-1.5,0.221,0.006,1.516,47.9
0.031,0.08,-0.119,0.147,47.97
1.148,-0.055,-0.803,1.402,48.04
-0.318,0.119,0.006,0.34,48.11
-1.154,0.049,0.102,1.16,48.18
-2.969,-0.039,-0.486,3.009,48.25
-1.246,0.154,-0.09,1.259,48.32
-0.408,-0.01,-0.043,0.411,48.4
-0.162,-0.096,-0.088,0.208,48.47
-1.203,0.094,-0.098,1.211,48.54
-1.658,0.063,0.01,1.659,48.61
-0.928,0.102,0.006,0.933,48.68
-0.135,-0.121,-0.328,0.375,48.76
-1.121,-0.025,0.037,1.122,48.83
-2.258,0.357,0.408,2.322,48.9
-1.773,-0.104,-0.238,1.792,48.97
-0.484,0.041,0.088,0.494,49.04
1.318,-0.076,-0.17,1.331,49.11
-0.148,0.01,0.221,0.266,49.18
-0.809,0.043,0.109,0.817,49.26
-2.525,-0.07,0.295,2.544,49.33
-1.529,0.039,0.014,1.53,49.4
-0.596,0.084,0.01,0.602,49.47
-0.371,-0.082,-0.178,0.42,49.54
-0.688,0.066,-0.094,0.697,49.61
-1.572,0.063,0.031,1.574,49.68
-1.127,-0.053,-0.07,1.13,49.76
-0.598,0.004,-0.168,0.621,49.83
-0.648,-0.059,-0.154,0.669,49.9
-1.16,-0.035,-0.027,1.161,49.97
-1.686,0.066,-0.187,1.697,50.04
-2.379,-0.16,0.15,2.389,50.12
-1.678,0.467,-0.248,1.759,50.19
-0.17,0.029,-0.012,0.173,50.26
1.066,-0.391,-0.16,1.147,50.33
-0.154,0.059,0.434,0.464,50.4
-1.121,0.258,0.189,1.166,50.47
-2.367,-0.203,0.105,2.378,50.54
-1.656,-0.113,-0.066,1.661,50.62
-0.643,0.209,0.227,0.713,50.69
-0.16,-0.078,-0.148,0.232,50.76
-0.445,-0.107,-0.125,0.475,50.84
-1.586,0.207,0.252,1.619,50.91
-1.238,0.004,-0.055,1.239,50.98
-0.473,-0.033,-0.227,0.525,51.05
-0.602,-0.01,-0.076,0.606,51.12
-0.797,-0.035,-0.092,0.803,51.2
-1.178,0.246,-0.271,1.233,51.27
-2.809,-0.443,-0.064,2.844,51.34
-1.932,0.395,-0.285,1.992,51.41
-0.738,-0.061,0.209,0.77,51.48
0.635,0.068,-0.168,0.66,51.56
0.525,-0.176,-0.229,0.599,51.63
-0.881,0.229,0.605,1.093,51.7
-2.6,-0.084,-0.082,2.602,51.77
-1.703,0.141,0.215,1.722,51.84
-1.123,0.156,0.277,1.167,51.91
-0.113,-0.17,-0.584,0.619,51.98
-0.455,-0.346,0.205,0.607,52.06
-1.432,0.467,0.137,1.512,52.13
-1.994,-0.621,0.107,2.091,52.2
-0.662,0.102,0.096,0.677,52.27
-0.174,0.299,-0.158,0.38,52.34
-0.689,0.168,-0.033,0.71,52.41
-0.92,-0.043,-0.141,0.932,52.49
-3.035,-0.184,-0.129,3.043,52.56
-2.344,0.754,0.035,2.462,52.63
-1.732,-0.236,-0.26,1.768,52.7
0.082,0.246,-0.451,0.52,52.77
1.453,-0.117,-0.215,1.474,52.84
-0.6,0.107,0.254,0.66,52.92
-0.637,-0.105,-0.008,0.645,52.99
-1.301,0.02,-0.215,1.319,53.06
-1.908,-0.117,-0.83,2.084,53.13
-0.934,-0.141,0.018,0.944,53.2
0.082,-0.053,-0.383,0.395,53.28
-0.234,0.197,0.072,0.315,53.35
-1.863,0.365,0.322,1.926,53.42
-0.982,-0.295,0.187,1.043,53.49
-0.434,0.039,-0.213,0.485,53.56
-1.273,0.137,-0.033,1.281,53.63
-1.23,-0.107,0.09,1.238,53.7
-0.566,0.154,0.127,0.601,53.78
-1.471,-0.121,0.617,1.6,53.85
-2.455,0.525,0.268,2.525,53.92
-1.574,0.156,0.207,1.595,53.99
0.215,0.291,-0.471,0.594,54.06
1.27,-0.104,-1.008,1.624,54.13
-0.645,-0.123,-0.039,0.657,54.2
-0.543,0.227,0.211,0.625,54.27
-3.037,0.023,0.105,3.039,54.35
-1.693,0.236,0.063,1.711,54.42
-1.33,0.064,0.512,1.427,54.49
-0.49,0.084,-0.045,0.499,54.56
-0.148,0.314,-0.217,0.41,54.63
-0.852,-0.008,0.123,0.86,54.7
-1.623,0.088,-0.479,1.694,54.77
-1.086,0.086,0.035,1.09,54.84
-0.26,0.016,-0.473,0.54,54.92
-0.766,-0.029,-0.26,0.809,54.99
-0.832,-0.021,-0.068,0.835,55.06
-2.186,0.201,-0.363,2.225,55.13
-2.334,-0.092,-0.27,2.351,55.21
-1.312,0.334,0.137,1.361,55.28
0.447,0.084,-0.277,0.533,55.35
0.721,-0.445,-0.434,0.952,55.42
-0.637,0.123,0.219,0.684,55.49
-1.262,0.273,-0.006,1.291,55.56
-2.826,0.127,-0.041,2.829,55.63
-1.295,0.158,-0.086,1.307,55.71
-0.396,-0.039,-0.033,0.4,55.78
-0.205,-0.035,-0.018,0.209,55.85
-1.855,0.215,-0.334,1.897,55.92
-1.453,0.051,-0.008,1.454,55.99
-0.764,0.07,-0.143,0.78,56.07
-0.592,0.041,-0.232,0.637,56.14
-0.947,-0.111,-0.207,0.976,56.21
-1.23,0,-0.453,1.311,56.28
-1.018,0.176,-0.189,1.05,56.35
-0.756,0.047,-0.285,0.809,56.43
-0.813,-0.057,-0.301,0.868,56.5
-0.68,-0.043,-0.682,0.964,56.57
-0.689,0.066,-0.566,0.895,56.64
-0.834,-0.002,-0.688,1.081,56.72
-0.721,-0.109,-0.916,1.171,56.79
-0.887,-0.035,-0.541,1.039,56.86
-1.02,-0.076,-1.014,1.44,56.93
-0.9,0.098,-0.895,1.273,57.01
-1.986,-0.346,-0.885,2.202,57.08
-1.721,0.49,-1.062,2.081,57.15
-0.885,-0.043,-0.187,0.905,57.22
0.922,-0.141,-0.145,0.944,57.29
0.32,0.098,-0.158,0.37,57.37
-0.877,-0.018,0.172,0.894,57.44
-0.207,-0.045,-0.152,0.261,57.51
-4,0.16,-0.436,4.027,57.58
-1.748,0.205,0.004,1.76,57.65
-1.049,-0.355,0.035,1.108,57.72
-0.094,-0.113,-0.197,0.246,57.8
-0.082,0.25,-0.059,0.27,57.87
-2.229,0.24,0.273,2.258,57.94
-1.572,-0.439,-0.209,1.646,58.01
-0.598,0.246,0.064,0.65,58.08
-0.301,-0.051,-0.252,0.396,58.16
-0.875,-0.014,0.014,0.875,58.23
-1.77,0.162,0.049,1.778,58.3
-2.459,-0.012,-0.336,2.482,58.37
-2.002,0.389,-0.025,2.039,58.44
-1.139,-0.07,-0.039,1.142,58.52
0.547,-0.078,-0.305,0.631,58.59
0.574,0.059,-0.059,0.58,58.66
-0.766,-0.063,0.266,0.813,58.73
-0.857,0.16,-0.568,1.041,58.8
-4,1.939,2.186,4.954,58.87
-1.863,0.092,0.434,1.915,58.94
-0.537,-0.191,-0.512,0.766,59.02
-0.207,0.061,-0.1,0.238,59.09
-0.805,0.021,-0.322,0.867,59.16
-1.412,0.213,-0.41,1.486,59.23
-0.93,-0.057,-0.238,0.961,59.3
-0.238,-0.027,-0.234,0.335,59.38
-1.1,0.137,-0.338,1.158,59.45
-0.801,0.057,0.08,0.807,59.52
-1.385,-0.02,-0.187,1.398,59.59
-2.832,0.037,0.141,2.836,59.66
-1.434,0.16,-0.266,1.467,59.74
-0.199,0.053,0.102,0.23,59.81
0.953,0.012,-0.359,1.019,59.88
0.076,-0.221,-0.172,0.29,59.95
-0.83,0.008,0.053,0.832,60.02
-2.465,-0.057,-0.32,2.486,60.09
-1.707,-0.023,-0.27,1.728,60.17
-0.621,0.148,-0.004,0.639,60.24
-0.271,-0.164,-0.125,0.341,60.31
-0.486,0.023,-0.127,0.503,60.38
-1.826,0.139,-0.096,1.834,60.45
-1.258,-0.104,-0.037,1.263,60.53
-0.471,-0.023,-0.119,0.486,60.6
-0.266,-0.111,-0.451,0.535,60.67
-1.084,0.002,-0.162,1.096,60.74
-2.551,0.125,0.012,2.554,60.81
-2.604,0.152,-0.264,2.621,60.89
-1.596,0.125,-0.342,1.637,60.96
-0.076,0.041,-0.104,0.135,61.03
1.266,-0.25,-0.475,1.375,61.1
-0.531,0.232,0.109,0.59,61.17
-0.799,0.195,-0.115,0.83,61.24
-2.566,-0.008,-0.607,2.637,61.32
-1.529,0.555,-0.604,1.735,61.39
-0.947,-0.096,0.232,0.98,61.46
-0.137,-0.176,-0.469,0.519,61.53
-0.221,0.016,-0.268,0.347,61.6
-2.57,0.365,0.293,2.613,61.68
-1.293,-0.199,-0.402,1.369,61.75
-0.426,0.117,-0.338,0.556,61.82
-0.344,0.037,-0.221,0.41,61.89
-0.549,-0.16,-0.051,0.574,61.96
-2.652,0.34,-0.408,2.705,62.04
-2.738,-0.092,-0.088,2.741,62.11
-1.791,0.309,-0.197,1.828,62.18
-0.213,0.193,-0.143,0.321,62.25
1.391,-0.279,-0.318,1.454,62.32
-0.242,0.047,-0.043,0.25,62.4
-1.119,-0.043,0.262,1.15,62.47
-0.961,0,-0.316,1.012,62.54
-2.646,0.578,0.406,2.739,62.61
-1.393,-0.42,0.275,1.48,62.68
-0.213,0.164,-0.002,0.269,62.75
-0.002,0.031,-0.326,0.328,62.83
-1.256,-0.061,-0.021,1.258,62.9
-1.656,0.09,-0.24,1.676,62.97
-0.947,0.088,-0.248,0.983,63.04
-0.1,0.051,-0.127,0.169,63.11
-0.807,0.027,-0.057,0.809,63.18
-0.965,-0.467,-0.271,1.106,63.26
-0.654,0.08,-0.055,0.661,63.33
-2.027,-0.174,-0.076,2.036,63.4
-2.314,0.371,0.252,2.358,63.47
-1.559,0.074,0.539,1.651,63.54
-0.416,-0.168,-0.24,0.509,63.62
0.545,-0.096,-0.027,0.554,63.69
0.291,0.254,0.031,0.387,63.76
-0.863,0.01,0.334,0.926,63.83
-2.404,-0.193,-0.063,2.413,63.9
-2.111,-0.277,-0.617,2.217,63.97
-0.791,0.254,0.195,0.853,64.04
-0.053,-0.094,-0.051,0.119,64.12
-0.244,-0.104,-0.143,0.301,64.19
-3.355,0.316,0.109,3.372,64.26
-1.311,0.039,-0.078,1.313,64.33
-0.576,-0.016,0.289,0.645,64.4
-0.277,-0.053,-0.424,0.509,64.48
-1.568,-0.072,-0.055,1.571,64.55
-0.48,0.057,-0.123,0.499,64.62
-1.102,-0.025,-0.059,1.103,64.69
-2.725,0.209,0.732,2.829,64.76
-2.01,-0.086,-0.385,2.048,64.84
-0.428,0.213,-0.109,0.49,64.91
1.678,-0.051,-0.846,1.88,64.98
-0.193,-0.064,-0.225,0.303,65.05
-0.762,0.08,0.369,0.85,65.12
-2.643,0.148,-0.203,2.655,65.2
-1.801,-0.244,-0.266,1.837,65.27
-0.785,0.385,0.223,0.902,65.34
-0.125,0.035,-0.227,0.261,65.41
-0.518,-0.082,-0.074,0.529,65.48
-1.709,0.119,0.074,1.715,65.56
-1.363,0.143,0.104,1.375,65.63
-0.592,-0.021,-0.221,0.632,65.7
-0.127,-0.025,-0.094,0.16,65.77
-0.521,-0.07,-0.221,0.571,65.84
-2.123,0.072,-0.898,2.306,65.92
-2.463,-0.102,-0.568,2.53,65.99
-1.342,0.187,-0.207,1.371,66.06
0.176,0.059,-0.367,0.411,66.13
1.24,-0.203,-0.846,1.515,66.2
-0.629,0.186,0.209,0.688,66.27
-2.592,0.059,0.318,2.612,66.34
-2.717,0.172,0.598,2.787,66.42
-0.99,0.279,-0.088,1.033,66.49
-0.307,-0.268,-0.084,0.416,66.56
-0.281,-0.01,-0.012,0.282,66.63
-2.26,0.371,0.258,2.304,66.7
-1.623,-0.115,0.07,1.629,66.78
-0.689,-0.021,-0.113,0.699,66.85
-0.145,0.076,-0.211,0.267,66.92
-0.527,-0.107,0,0.538,66.99
-0.805,-0.031,-0.367,0.885,67.06
-2.988,0.729,0.877,3.198,67.14
-2.412,-0.236,-0.246,2.436,67.21
-0.947,0.238,-0.152,0.989,67.28
0.408,0.229,-0.033,0.469,67.35
0.717,-0.4,-1.047,1.33,67.42
-0.555,-0.027,0.387,0.677,67.49
-0.861,0.207,-0.684,1.119,67.57
-3.57,-0.187,-0.473,3.606,67.64
-1.312,0.246,0.336,1.377,67.71
-0.459,-0.205,-0.088,0.51,67.78
-0.01,0.045,-0.184,0.189,67.85
-1.295,0.098,-0.078,1.301,67.93
-1.607,-0.025,-0.02,1.608,68
-0.514,0.178,-0.252,0.599,68.07
-0.262,-0.131,-0.287,0.41,68.14
-1.236,-0.115,0.002,1.242,68.21
-1.346,0.266,-0.252,1.395,68.29
-0.836,-0.135,0.141,0.858,68.36
-0.33,-0.049,-0.391,0.514,68.43
-2.314,0.008,0.66,2.407,68.5
-2.559,0.102,0.156,2.565,68.57
-1.363,0.064,0.119,1.37,68.64
-0.613,-0.191,-0.289,0.704,68.72
0.639,0.148,-0.342,0.739,68.79
0.137,-0.051,0.102,0.178,68.86
-0.873,0.123,0.035,0.882,68.93
-2.105,-0.457,-0.109,2.157,69
-1.393,0.074,-0.088,1.397,69.07
-0.564,-0.018,-0.033,0.566,69.15
-0.061,-0.121,-0.266,0.298,69.22
-1.187,-0.191,0.006,1.203,69.29
-1.584,0.287,-0.213,1.624,69.36
-0.9,0.055,0.295,0.949,69.43
-0.26,-0.02,-0.246,0.358,69.51
-1.936,0.348,0.078,1.968,69.58
-1.15,0.025,-0.09,1.154,69.65
-0.352,-0.025,-0.184,0.397,69.72
-0.633,0.008,-0.027,0.633,69.79
-1.76,-0.164,-0.447,1.823,69.87
-2.162,-0.078,-0.193,2.172,69.94
-1.463,0.109,0.016,1.467,70.01
-0.26,0.254,-0.148,0.392,70.08
1.062,-0.213,-0.428,1.165,70.15
-0.137,-0.039,-0.061,0.155,70.22
-0.982,0.076,0.008,0.985,70.3
-2.342,0.502,0.248,2.408,70.37
-1.393,-0.199,-0.197,1.421,70.44
-0.523,-0.066,-0.309,0.611,70.51
-0.352,0.227,0.166,0.45,70.58
-1.08,0.008,-0.086,1.084,70.66
-1.437,0.133,0.006,1.444,70.73
-0.951,0.215,-0.48,1.087,70.8
-0.648,-0.1,0.02,0.656,70.87
-1.051,-0.096,-0.242,1.083,70.94
-1.076,0.152,-0.451,1.177,71.01
-1.082,0.166,-0.602,1.249,71.09
-1.24,-0.09,-0.35,1.292,71.16
-0.807,-0.002,-0.262,0.848,71.23
-0.414,0.105,-0.373,0.567,71.3
-0.525,0.063,-0.318,0.617,71.37
-2.561,0.094,0.504,2.611,71.44
-2.383,0.145,-0.217,2.397,71.52
-0.996,0.213,-0.08,1.022,71.59
0.355,0.115,-0.373,0.528,71.66
0.674,-0.447,-0.361,0.886,71.73
-0.607,0.012,0.184,0.635,71.8
-0.906,0.566,-0.273,1.103,71.87
-3.842,-0.369,0.334,3.874,71.95
-1.105,0.295,0.521,1.257,72.02
-0.301,0.143,0.096,0.346,72.09
-0.115,-0.275,-0.016,0.299,72.16
-1.268,-0.018,-0.078,1.27,72.23
-1.82,0.373,0.193,1.868,72.3
-0.852,-0.023,0.047,0.853,72.37
-0.355,0.055,-0.074,0.367,72.45
-1.045,-0.059,-0.104,1.052,72.52
-0.738,0.045,-0.166,0.758,72.59
-0.691,0.041,-0.152,0.709,72.66
-1.963,-0.217,-0.201,1.985,72.74
-2.377,0.318,-0.424,2.435,72.81
-1.873,0.09,-0.123,1.879,72.88
-0.338,0.047,-0.021,0.342,72.95
1.461,0.002,-0.506,1.546,73.02
0.01,-0.137,-0.109,0.175,73.09
-0.852,0.205,0.434,0.977,73.16
-1.832,-0.25,-0.279,1.87,73.24
-1.213,0.047,-0.187,1.228,73.31
-0.498,0.381,0.295,0.693,73.38
-0.094,-0.566,-0.389,0.693,73.45
-0.539,0.074,0.049,0.546,73.52
-1.26,0.994,0.26,1.626,73.59
-1.219,-0.514,0.275,1.351,73.67
-0.354,0.15,-0.223,0.444,73.74
-1.328,0.406,-0.178,1.4,73.81
-1.031,-0.146,-0.205,1.062,73.88
-0.684,0.076,-0.143,0.702,73.95
-0.604,0.029,-0.162,0.626,74.02
-1.748,0.311,-0.148,1.782,74.1
-2.609,-0.195,-0.162,2.622,74.17
-1.367,0.443,-0.332,1.475,74.24
0.084,0.068,-0.068,0.128,74.31
1.166,-0.299,-1.018,1.576,74.38
-0.666,0.023,0.107,0.675,74.46
-0.953,0.4,-0.027,1.034,74.53
-2.271,-0.447,0.416,2.352,74.6
-1.195,0.156,-0.334,1.251,74.67
-0.555,0.176,0.025,0.582,74.74
-0.305,-0.166,-0.15,0.378,74.81
-0.861,-0.012,-0.131,0.871,74.89
-1.527,0.137,-0.176,1.543,74.96
-0.887,0.148,-0.021,0.899,75.03
-0.393,-0.023,-0.244,0.463,75.1
-1.682,-0.182,0.057,1.692,75.17
-0.91,0.143,-0.119,0.929,75.25
-0.721,0.123,-0.164,0.749,75.32
-0.939,0.023,-0.129,0.949,75.39
-1.309,-0.158,-0.209,1.335,75.46
-2.654,0.469,-0.102,2.697,75.54
-1.967,0.137,-0.344,2.001,75.61
-0.412,0.074,-0.104,0.431,75.68
1.314,-0.578,-0.311,1.469,75.75
0,0.27,0.35,0.441,75.82
-0.926,0.246,0.299,1.003,75.89
-2.277,-0.293,-0.643,2.384,75.96
-1.658,0.809,-0.162,1.852,76.04
-1.027,-0.205,0.068,1.05,76.11
-0.377,-0.197,-0.215,0.477,76.18
-0.273,0.187,-0.24,0.409,76.25
-3.893,0.445,-0.078,3.919,76.32
-1.297,-0.184,0.01,1.31,76.39
-0.281,-0.004,-0.154,0.321,76.47
-0.516,0.191,-0.232,0.597,76.54
-1.072,-0.021,-0.143,1.082,76.61
-0.615,0.027,-0.141,0.632,76.68
-2.197,0.334,0.604,2.303,76.75
-2.678,-0.24,0.002,2.688,76.83
-1.473,0.309,-0.156,1.513,76.9
-0.109,0.002,-0.145,0.181,76.97
1.354,-0.008,-0.563,1.466,77.04
-0.203,-0.023,-0.068,0.216,77.11
-0.836,0.02,0.121,0.845,77.19
-2.984,0.08,0.545,3.035,77.26
-1.352,0.229,-0.369,1.42,77.33
-0.617,-0.057,0.158,0.64,77.4
-0.199,-0.043,-0.137,0.245,77.47
-0.865,0.088,-0.172,0.887,77.54
-1.98,0.441,0.176,2.037,77.61
-1.092,-0.215,0.049,1.114,77.69
-0.17,0.061,-0.16,0.241,77.76
-0.893,0.123,-0.297,0.949,77.83
-0.865,-0.133,-0.186,0.895,77.9
-1.02,-0.027,0.016,1.02,77.97
-2.246,-0.023,-0.762,2.372,78.05
-2.26,0.168,-0.49,2.318,78.12
-0.859,0.105,0.061,0.868,78.19
1.355,0.301,-0.656,1.536,78.26
0.141,-0.426,-0.375,0.585,78.33
-0.811,0.096,0.406,0.912,78.4
-1.348,0.305,-0.695,1.547,78.47
-3.988,0.25,-0.391,4.015,78.55
-1.133,0.332,0.125,1.187,78.62
-0.336,-0.195,-0.316,0.501,78.69
-0.371,-0.066,-0.119,0.395,78.76
-1.23,0.203,0.197,1.263,78.83
-1.168,0.082,0.07,1.173,78.9
-0.682,0.021,-0.48,0.834,78.98
-1.525,-0.068,-0.187,1.538,79.05
-0.717,0.004,-0.191,0.742,79.12
-0.459,0.023,-0.322,0.561,79.19
-2.924,0.357,0.789,3.049,79.26
-2.416,-0.385,-0.809,2.577,79.34
-1.537,0.506,-0.086,1.62,79.41
-0.34,-0.08,0.219,0.412,79.48
1.666,-0.227,-1.307,2.129,79.55
-0.406,-0.023,-0.201,0.454,79.62
-0.873,-0.004,0.275,0.915,79.69
-2.389,0.066,-0.307,2.409,79.77
-1.74,-0.16,-0.027,1.748,79.84
-0.822,-0.059,0.121,0.833,79.91
-0.08,-0.1,-0.107,0.167,79.98
-0.523,0.074,-0.15,0.55,80.06
-1.582,0.4,-0.424,1.686,80.13
-0.961,-0.25,0.063,0.995,80.2
-0.297,0.029,-0.297,0.421,80.27
-1.42,0.096,-0.182,1.435,80.34
-0.945,-0.037,-0.201,0.967,80.42
-0.514,0.074,-0.09,0.527,80.49
-1.141,-0.004,-0.068,1.143,80.56
-0.967,-0.127,-0.1,0.98,80.63
-2.406,0.061,-0.135,2.411,80.71
-2.309,0.219,-0.09,2.321,80.78
-1.275,-0.322,-0.33,1.356,80.85
0.502,0.492,-0.064,0.706,80.92
0.74,-0.17,-0.229,0.793,80.99
-0.477,0.102,0.277,0.561,81.06
-1.078,0.127,-0.23,1.11,81.13
-3.828,-0.145,-0.33,3.845,81.21
-1.084,0.08,0.225,1.11,81.28
-0.238,-0.068,0.047,0.252,81.35
-0.334,-0.025,-0.072,0.343,81.42
-1.383,0.094,-0.021,1.386,81.5
-1.771,-0.176,0.316,1.808,81.57
-0.91,-0.02,-0.23,0.939,81.64
-0.301,0.133,-0.125,0.352,81.71
-0.754,-0.027,-0.178,0.775,81.78
-0.93,-0.27,-0.262,1.003,81.86
-1.449,0.094,-0.15,1.46,81.93
-2.557,0.014,-0.086,2.558,82
-2.092,0.16,-0.318,2.122,82.07
-1.09,0.016,-0.199,1.108,82.14
0.486,-0.107,-0.268,0.565,82.21
0.717,-0.215,-0.84,1.125,82.29
-0.549,0.561,0.412,0.886,82.36
-1.168,0.162,0.449,1.262,82.43
-2.852,-0.18,0.461,2.894,82.5
-0.814,0.16,-0.145,0.843,82.57
-0.209,-0.072,-0.197,0.296,82.65
-0.35,-0.031,-0.133,0.375,82.72
-1.768,0.271,0.414,1.836,82.79
-1.164,-0.195,0.227,1.202,82.86
-0.205,0.008,-0.32,0.38,82.93
-1.883,0.186,0.109,1.895,83
-1.33,-0.223,-0.189,1.362,83.08
-0.221,0.109,-0.221,0.331,83.15
-0.404,-0.045,-0.078,0.414,83.22
-3.303,0.107,0.629,3.364,83.29
-2.5,0.063,-0.178,2.507,83.36
-1.818,-0.16,-0.223,1.839,83.44
0.453,0.186,-0.422,0.646,83.51
0.941,-0.117,-0.408,1.033,83.58
-0.498,-0.002,0.377,0.625,83.65
-0.734,-0.064,-0.027,0.738,83.72
-3.115,0.299,0.391,3.154,83.79
-1.389,-0.047,-0.104,1.393,83.87
-0.391,-0.139,0.039,0.416,83.94
-0.225,-0.135,-0.223,0.344,84.01
-1.955,0.398,0.434,2.042,84.08
-1.162,0.068,0.141,1.173,84.15
-0.412,-0.088,-0.162,0.451,84.22
-1.396,0.012,-0.352,1.44,84.3
-1.295,0.109,-0.045,1.3,84.37
-0.48,0.045,-0.162,0.509,84.44
-0.885,-0.119,-0.002,0.893,84.51
-0.543,-0.01,-0.309,0.625,84.59
-1.387,0.125,-0.299,1.424,84.66
-2.494,0.076,-0.355,2.52,84.73
-1.762,0.158,-0.535,1.848,84.8
-0.432,-0.051,0.287,0.521,84.87
1.035,0.016,-0.219,1.058,84.94
-0.043,-0.15,0.031,0.159,85.01
-1.027,0.035,0.508,1.147,85.09
-1.271,-0.156,-0.619,1.423,85.16
-1.92,0.203,-0.113,1.934,85.23
-0.988,-0.018,0.187,1.006,85.3
-0.156,-0.137,-0.156,0.26,85.38
-0.598,0.119,-0.168,0.632,85.45
-1.658,-0.055,-0.094,1.662,85.52
-0.752,-0.031,-0.121,0.762,85.59
-0.352,0.164,-0.166,0.422,85.66
-1.297,-0.029,-0.342,1.341,85.74
-0.885,-0.154,-0.057,0.9,85.81
-1.172,0.072,-0.113,1.18,85.88
-2.641,0.254,-0.111,2.655,85.95
-1.59,-0.037,-0.129,1.595,86.03
-0.627,0.186,-0.096,0.661,86.1
0.787,0.246,-0.232,0.857,86.17
0.211,-0.365,-0.26,0.495,86.24
-0.883,-0.09,0.135,0.898,86.31
-1.836,0.455,-0.281,1.912,86.38
-1.598,-0.043,-0.393,1.646,86.46
-0.719,-0.256,-0.26,0.806,86.53
-0.146,0.125,-0.176,0.261,86.6
-0.869,0.156,-0.117,0.891,86.67
-2.062,-0.133,0.051,2.067,86.75
-0.936,0.105,-0.043,0.942,86.82
-0.416,0.061,-0.141,0.443,86.89
-1.402,-0.006,-0.184,1.414,86.96
-0.926,0.051,-0.018,0.927,87.03
-0.377,0.072,0.021,0.384,87.1
-0.93,-0.088,-0.055,0.935,87.18
-1.092,-0.043,-0.049,1.094,87.25
-2.125,0.105,-0.344,2.155,87.32
-2.119,0.248,0.211,2.144,87.39
-1.314,-0.133,-0.074,1.323,87.46
-0.014,0.111,0.045,0.121,87.54
0.92,0.109,-0.828,1.243,87.61
-0.262,0.027,-0.23,0.35,87.68
-1.445,0.25,0.109,1.471,87.75
-2.779,-0.344,0.373,2.825,87.82
-1.268,0.287,0.113,1.305,87.89
-0.521,-0.037,-0.02,0.523,87.96
-0.184,-0.047,-0.129,0.229,88.04
-1.064,0.045,-0.057,1.067,88.11
-1.959,-0.053,0.033,1.96,88.18
-0.908,0.123,-0.086,0.921,88.25
-0.266,0.063,-0.246,0.367,88.32
-0.885,0.029,-0.004,0.885,88.39
-1.236,-0.172,-0.328,1.291,88.47
-0.676,-0.064,0.008,0.679,88.54
-2.662,0.156,0.467,2.707,88.61
-2.187,0.334,-0.256,2.228,88.68
-1.65,-0.357,0.119,1.693,88.75
-0.303,0.121,-0.439,0.547,88.83
1.025,0.104,-0.311,1.076,88.9
0.043,-0.094,-0.133,0.168,88.97
-1.467,0.164,-0.035,1.476,89.04
-2.086,-0.094,-0.744,2.217,89.11
-1.086,0.225,-0.133,1.117,89.18
-0.537,-0.297,-0.152,0.632,89.26
-0.285,0.076,-0.104,0.313,89.33
-2.025,0.35,-0.051,2.056,89.4
-1.451,-0.029,-0.172,1.462,89.47
-0.832,0.131,-0.209,0.868,89.54
-0.5,0.018,-0.24,0.555,89.62
-1.205,-0.119,-0.145,1.22,89.69
-0.828,0.133,-0.377,0.92,89.76
-0.584,0.123,-0.352,0.693,89.83
-0.881,-0.205,-0.412,0.994,89.91
-1.383,-0.098,-0.461,1.461,89.98
-1.711,0.123,-0.113,1.719,90.05
-1.971,-0.221,-0.619,2.077,90.12
-2.117,0.047,-0.193,2.127,90.19
-0.67,0.139,-0.193,0.711,90.27
0.5,0.076,-0.273,0.575,90.34
0.57,-0.186,0.029,0.6,90.41
-0.727,0.178,0.217,0.779,90.48
-1.895,0.018,0.16,1.901,90.55
-2.875,-0.459,-0.303,2.927,90.62
-0.961,0.057,0.086,0.966,90.69
-0.152,0.082,-0.145,0.225,90.77
-0.268,-0.156,-0.074,0.319,90.84
-3.025,-0.078,-0.031,3.027,90.91
-1.475,-0.008,-0.033,1.475,90.98
-0.559,0.18,-0.18,0.614,91.06
