x,y,z,magnitude,time
-0.973,-0.18,-0.105,0.995,10.33
-0.244,0.115,-0.469,0.541,10.4
-0.666,0.031,-0.049,0.669,10.47
-1.783,0.012,0.066,1.784,10.54
-1.148,0.162,0.049,1.161,10.61
-0.535,-0.059,-0.156,0.561,10.69
-0.857,-0.029,-0.115,0.866,10.76
-1.033,-0.004,-0.063,1.035,10.83
-0.771,0.189,-0.006,0.794,10.9
-0.982,-0.082,-0.229,1.012,10.98
-1.578,-0.113,0.006,1.582,11.05
-1.82,-0.031,0.092,1.823,11.12
-2.031,-0.312,-0.006,2.055,11.19
-1.17,0.465,-0.104,1.263,11.27
0.135,0.094,-0.158,0.228,11.34
0.834,-0.285,-0.381,0.96,11.41
-0.32,0.184,-0.018,0.37,11.48
-1.943,0.146,0.068,1.95,11.55
-2.85,-0.172,0.238,2.865,11.62
-1.391,0.303,0.316,1.458,11.69
-0.631,-0.15,-0.189,0.676,11.77
-0.086,0.02,-0.357,0.368,11.84
-1.465,0.166,0.059,1.475,11.91
-1.418,0.039,-0.123,1.424,11.98
-0.75,-0.023,0.002,0.75,12.05
-0.867,0,-0.086,0.871,12.12
-1.164,0.068,0.074,1.168,12.19
-1.02,0.021,0.041,1.021,12.26
-0.906,0.066,-0.01,0.909,12.34
-0.994,-0.061,-0.102,1.001,12.41
-1.15,-0.148,-0.084,1.163,12.48
-0.641,0.09,0.037,0.648,12.55
-0.537,0.031,0.004,0.538,12.62
-2.848,-0.064,0.719,2.938,12.69
-2.027,0.42,-0.135,2.075,12.77
-0.934,-0.131,0.439,1.04,12.84
0.705,-0.125,-0.365,0.804,12.91
0.303,0.074,0.389,0.498,12.98
-0.797,0.057,0.266,0.842,13.05
-0.6,-0.045,-0.285,0.665,13.12
-3.281,0.41,-0.393,3.33,13.19
-1.559,-0.002,0.184,1.569,13.27
-0.48,-0.178,-0.199,0.55,13.34
-0.148,0.035,-0.18,0.236,13.41
-0.764,0.066,-0.063,0.769,13.48
-2.045,-0.059,0.059,2.047,13.56
-1.193,0.008,0.043,1.194,13.63
-0.486,0,-0.041,0.488,13.7
-0.807,0,-0.123,0.816,13.77
-1.037,0.008,-0.098,1.042,13.84
-0.674,0.012,-0.029,0.675,13.91
-0.521,-0.066,-0.152,0.547,13.98
-2.355,0.02,0.258,2.37,14.06
-2.498,0,-0.037,2.498,14.13
-1.809,0.217,-0.236,1.837,14.2
-0.568,-0.08,0.113,0.585,14.27
0.703,-0.182,-0.068,0.729,14.34
0.152,0.127,0.205,0.285,14.41
-0.754,0.02,0.215,0.784,14.48
-1.234,-0.031,-0.371,1.289,14.56
-2.9,0.326,0.432,2.95,14.63
-1.404,-0.002,0.107,1.408,14.7
-0.559,-0.01,-0.096,0.567,14.77
-0.254,0.086,-0.086,0.281,14.84
-0.703,0.035,-0.064,0.707,14.92
-1.535,-0.092,0.023,1.538,14.99
-1.207,0.143,0.01,1.215,15.06
-0.826,-0.041,0.119,0.836,15.13
-0.697,-0.043,-0.18,0.721,15.2
-0.996,0.189,-0.162,1.027,15.27
-0.693,0.008,0.09,0.699,15.35
-1.277,0.016,-0.047,1.278,15.42
-2.432,-0.033,-0.059,2.433,15.49
-2.039,0.09,0.131,2.045,15.56
-1.283,-0.025,-0.26,1.309,15.63
0.533,0.119,0.018,0.547,15.7
0.605,-0.068,0.021,0.61,15.77
-0.648,-0.115,0.123,0.67,15.85
-0.67,0.219,-0.4,0.811,15.92
-2.49,-0.117,-0.285,2.509,15.99
-1.701,-0.021,0.131,1.706,16.06
-0.83,-0.154,-0.002,0.844,16.13
-0.088,0.051,-0.201,0.225,16.21
-1.043,0.123,-0.162,1.063,16.28
-1.543,-0.18,-0.027,1.554,16.35
-0.73,-0.016,-0.008,0.731,16.42
-0.645,0.029,-0.107,0.654,16.5
-1.336,-0.037,0.014,1.337,16.57
-1.113,-0.041,-0.008,1.114,16.64
-0.529,0.023,-0.096,0.538,16.71
